transcript	gene	chr	amino_acids	genomic_start	genomic_end	obs_mis	exp_mis	obs_exp	chisq_diff_null	region_name
ENST00000337907.3	RERE	1	1-507	8716356	8424825	97	197.9807001	0.489946747	51.50553454	RERE_1
ENST00000323848.9	SRRM1	1	1-115	24969818	24975460	4	34.83825406	0.114816316	27.29751932	SRRM1_1
ENST00000373586.1	EIF3I	1	1-137	32688043	32692014	24	57.40998439	0.41804575	24.95607748	EIF3I_1
ENST00000373586.1	EIF3I	1	244-326	32694736	32696797	5	31.27942973	0.159849462	34.22363174	EIF3I_3
ENST00000344548.3	CDC42	1	1-121	22404972	22413236	0	36.79439303	0	36.79439303	CDC42_1
ENST00000374616.3	HNRNPR	1	1-292	23667501	23645126	41	91.80921734	0.446578254	35.51490281	HNRNPR_1
ENST00000374616.3	HNRNPR	1	293-352	23645125	23640166	0	19.0515437	0	38.10308741	HNRNPR_2
ENST00000375679.4	CLCNKB	1	156-289	16374507	16376310	20	62.09558605	0.322084085	38.8734667	CLCNKB_2
ENST00000378536.4	SKI	1	1-187	2160206	2160766	18	90.47038765	0.198960129	58.05166997	SKI_1
ENST00000378536.4	SKI	1	583-729	2236004	2238204	14	37.25773377	0.375760911	14.51838653	SKI_3
ENST00000289753.1	HTR6	1	1-201	19992247	19992849	67	120.1554139	0.557611162	23.5153618	HTR6_1
ENST00000374343.4	TMEM57	1	1-201	25757590	25783273	19	68.97984099	0.275442792	50.96341971	TMEM57_1
ENST00000374343.4	TMEM57	1	332-665	25785223	25824957	49	112.1378127	0.436962331	45.14061329	TMEM57_3
ENST00000235329.5	MFN2	1	1-390	12049226	12064058	83	146.4965053	0.566566416	27.52151786	MFN2_1
ENST00000263980.3	SLC9A1	1	1-672	27480825	27428237	120	279.7160302	0.429006518	91.19681226	SLC9A1_1
ENST00000373836.3	PHACTR4	1	562-713	28807010	28823061	25	63.65305401	0.392754132	23.47190732	PHACTR4_2
ENST00000373795.4	SRSF4	1	1-176	29508264	29481258	11	81.22802755	0.135421237	60.71766116	SRSF4_1
ENST00000407249.3	CDK11B	1	74-450	1586830	1573863	0	72.13880661	0	72.13880661	CDK11B_2
ENST00000407249.3	CDK11B	1	451-483	1573862	1573148	0	13.26341126	0	13.26341126	CDK11B_3
ENST00000376223.2	DHRS3	1	1-202	12677353	12638838	48	105.6323768	0.454406135	31.44387121	DHRS3_1
ENST00000377834.4	HES2	1	1-49	6479880	6479395	1	16.5490924	0.060426274	25.48552228	HES2_1
ENST00000377834.4	HES2	1	97-174	6479166	6478933	1	14.18437692	0.070500101	21.06447156	HES2_3
ENST00000345512.3	PTPRU	1	183-382	29585842	29601961	46	109.0807529	0.421705927	46.72437591	PTPRU_2
ENST00000378609.4	GNB1	1	63-341	1747211	1718770	14	120.3244514	0.116352078	93.9533805	GNB1_2
ENST00000375743.4	ZBTB17	1	281-804	16271518	16268464	80	233.3115838	0.342889104	100.7427121	ZBTB17_2
ENST00000378251.1	LRRC47	1	1-159	3713040	3712564	6	49.91929963	0.120193994	38.64046359	LRRC47_1
ENST00000235349.5	PRAMEF4	1	98-479	12942924	12939365	30	107.3396474	0.279486664	55.72424734	PRAMEF4_2
ENST00000240185.3	TARDBP	1	1-157	11073785	11078858	13	57.65625419	0.225474238	50.58422478	TARDBP_1
ENST00000240185.3	TARDBP	1	158-260	11078859	11082246	0	35.31723306	0	70.63446611	TARDBP_2
ENST00000240185.3	TARDBP	1	261-415	11082247	11082711	21	44.97915079	0.466882981	15.96788317	TARDBP_3
ENST00000375759.3	SPEN	1	1-646	16174563	16254673	136	243.565645	0.55837103	47.50410504	SPEN_1
ENST00000375759.3	SPEN	1	3499-3665	16264126	16265922	29	65.89525105	0.440092412	20.65793101	SPEN_3
ENST00000263934.6	KIF1B	1	1-659	10292387	10357304	114	227.5421517	0.501006074	56.6568441	KIF1B_1
ENST00000262450.3	CHD5	1	674-1525	6203906	6184132	117	363.8131061	0.321593692	167.4395681	CHD5_2
ENST00000262450.3	CHD5	1	1700-1955	6172242	6166340	61	119.3704394	0.511014287	28.5423109	CHD5_4
ENST00000361640.4	AKR7A3	1	275-332	19610501	19609225	7	25.06709818	0.279250512	13.02185177	AKR7A3_2
ENST00000374135.4	GPN2	1	1-76	27216587	27216360	20	54.23043917	0.368796571	21.60637059	GPN2_1
ENST00000400181.4	KDM1A	1	1-175	23346090	23370927	19	52.41132064	0.362517101	28.26466327	KDM1A_1
ENST00000400181.4	KDM1A	1	301-877	23382442	23409857	45	187.5260105	0.239966711	156.5990649	KDM1A_3
ENST00000375142.1	CAPZB	1	1-244	19811932	19669358	22	81.3875722	0.27031154	43.33442609	CAPZB_1
ENST00000426105.2	PUM1	1	1-625	31532413	31439040	117	203.2228335	0.575722708	43.2474473	PUM1_1
ENST00000426105.2	PUM1	1	671-1189	31438904	31406058	89	205.7345477	0.43259628	84.3139305	PUM1_3
ENST00000294413.7	RHCE	1	1-34	25747277	25747176	1	16.17763131	0.061813746	24.78800361	RHCE_1
ENST00000294413.7	RHCE	1	358-418	25712203	25689018	4	18.1603913	0.220259571	16.21719412	RHCE_3
ENST00000378785.2	ATAD3C	1	190-231	1391608	1392512	0	15.73951033	0	31.47902065	ATAD3C_2
ENST00000476993.1	VWA1	1	320-446	1374787	1375167	3	59.42097827	0.05048722	53.57243993	VWA1_2
ENST00000294409.2	GMEB1	1	102-187	29018159	29023529	2	26.31408032	0.076004936	38.32033269	GMEB1_2
ENST00000377658.4	KLHL21	1	1-329	6662877	6661891	36	107.4917967	0.334909278	47.54853066	KLHL21_1
ENST00000309212.6	MXRA8	1	26-313	1291130	1290072	66	131.4705906	0.502013414	39.97622727	MXRA8_2
ENST00000377411.4	GPR157	1	1-74	9189086	9188865	9	36.3491703	0.247598499	20.57755679	GPR157_1
ENST00000246151.4	PITHD1	1	1-73	24105006	24105948	0	17.47502591	0	17.47502591	PITHD1_1
ENST00000376030.2	KAZN	1	1-633	14925494	15430536	155	261.7924102	0.592072169	43.56359631	KAZN_1
ENST00000399916.1	RUNX3	1	1-220	25291062	25233835	31	116.824135	0.265356127	63.05017494	RUNX3_1
ENST00000399916.1	RUNX3	1	221-430	25233834	25228613	58	102.9761939	0.563236976	19.64393846	RUNX3_2
ENST00000235835.3	AKR7A2	1	1-59	19638618	19638442	7	37.6672698	0.185837732	24.96813393	AKR7A2_1
ENST00000378567.3	PRKCZ	1	225-503	2080349	2106686	36	115.7897937	0.310908232	54.98249004	PRKCZ_2
ENST00000247986.2	KIF17	1	1-115	21044199	21042019	40	70.70876135	0.56570076	15.84231998	KIF17_1
ENST00000373871.3	EYA3	1	473-574	28316209	28300977	6	25.94538289	0.231255018	15.332913	EYA3_2
ENST00000377782.3	TNFRSF25	1	347-427	6521736	6521494	16	46.49612034	0.344114732	20.00195606	TNFRSF25_2
ENST00000246421.4	SLC35E2	1	1-245	1670996	1663960	4	59.10401347	0.067677299	51.37472267	SLC35E2_1
ENST00000543823.1	SYTL1	1	264-306	27676505	27676889	0	18.4078011	0	36.8156022	SYTL1_2
ENST00000378295.4	TP73	1	129-316	3624311	3644297	36	87.86168976	0.409734892	39.48174439	TP73_2
ENST00000375592.3	FBXO42	1	1-307	16641913	16579591	53	99.14190707	0.534587255	21.47503161	FBXO42_1
ENST00000332296.7	PRAMEF1	1	373-475	12855837	12856145	3	36.0801143	0.083148295	30.32955919	PRAMEF1_2
ENST00000336689.3	ASAP3	1	1-55	23810626	23782652	0	11.54000954	0	11.54000954	ASAP3_1
ENST00000308647.7	ATAD3B	1	1-272	1407265	1420461	50	100.003751	0.499981246	25.00281329	ATAD3B_1
ENST00000308647.7	ATAD3B	1	365-407	1421927	1423249	1	23.00581195	0.043467277	21.04927923	ATAD3B_3
ENST00000270722.5	PRDM16	1	951-1026	3334551	3342283	8	37.64304396	0.212522664	34.50678168	PRDM16_2
ENST00000527815.1	AIM1L	1	361-557	26663812	26658001	31	71.55980265	0.433204101	29.25373493	AIM1L_2
ENST00000378755.5	ATAD3A	1	403-457	1459318	1460632	1	31.41848597	0.031828396	53.94217904	ATAD3A_2
ENST00000328664.4	RHD	1	1-55	25599039	25611080	3	22.42213228	0.133796374	16.8235214	RHD_1
ENST00000290101.4	RAP1GAP	1	43-572	21952844	21929311	116	208.6525987	0.555948024	49.10252822	RAP1GAP_2
ENST00000243189.7	C1orf63	1	1-177	25573454	25571782	72	139.4981714	0.516135798	32.65994885	C1orf63_1
ENST00000308271.9	USP48	1	1-633	22109450	22041946	82	198.457087	0.413187562	87.96217649	USP48_1
ENST00000308271.9	USP48	1	914-1036	22021702	22005910	15	42.37754248	0.353961063	23.59803409	USP48_3
ENST00000374005.3	FGR	1	218-365	27943398	27941361	13	60.28770658	0.215632684	54.68676294	FGR_2
ENST00000535591.1	PRAMEF11	1	1-92	12888523	12887581	3	30.26293268	0.099131173	24.5603262	PRAMEF11_1
ENST00000343090.6	UBE4B	1	577-1303	10190591	10240014	141	283.3233336	0.497664623	71.49404546	UBE4B_2
ENST00000375541.5	CROCC	1	664-716	17270776	17272765	0	18.70459543	0	37.40919087	CROCC_2
ENST00000377648.4	PHF13	1	218-301	6680373	6681697	5	44.97391831	0.111175548	35.52979605	PHF13_2
ENST00000375254.3	UBR4	1	1-517	19536742	19513739	98	174.0891845	0.562929858	33.25631064	UBR4_1
ENST00000375254.3	UBR4	1	2830-5003	19467841	19408067	427	769.356705	0.555009136	152.345606	UBR4_4
ENST00000493901.1	MAP3K6	1	619-721	27687477	27686751	25	57.80339707	0.432500532	23.69820805	MAP3K6_2
ENST00000331433.4	CLCNKA	1	261-289	16353930	16354513	0	11.28730841	0	22.57461681	CLCNKA_2
ENST00000318249.5	NBPF3	1	390-634	21805853	21809879	12	58.07430951	0.206631815	36.55389129	NBPF3_2
ENST00000361445.4	MTOR	1	1-2010	11319466	11188064	382	727.2042773	0.525299441	163.8686636	MTOR_1
ENST00000361445.4	MTOR	1	2011-2550	11188063	11167542	56	202.9415455	0.275941527	106.394271	MTOR_2
ENST00000373048.4	EPHA10	1	1-492	38230738	38200944	117	196.5531611	0.595258806	32.19844138	EPHA10_1
ENST00000373151.2	MAP7D1	1	254-396	36640519	36642137	22	66.09196404	0.332869515	39.78372069	MAP7D1_2
ENST00000334194.3	CYP4Z1	1	124-262	47548011	47560251	14	42.65052684	0.328249169	26.10954936	CYP4Z1_2
ENST00000396153.2	FAF1	1	458-651	51005297	50907112	22	66.94700008	0.32861816	30.17659961	FAF1_2
ENST00000035383.5	LRRC7	1	1-467	70225888	70486782	42	130.3189018	0.322286326	59.85492744	LRRC7_1
ENST00000035383.5	LRRC7	1	1441-1538	70541964	70587570	8	27.25866156	0.293484696	13.60653913	LRRC7_3
