transcript	gene	chr	n_coding_exons	cds_start	cds_end	bp	amino_acids	low_depth_exons	obs_mis	exp_mis	obs_exp	overall_chisq	n_regions	mis_z	pLI
ENST00000335137.3	OR4F5	1	1	69090	70008	918	306	.	8	69.31116373	0.115421522	54.23453591	1	3.602088999	0.176329298
ENST00000379198.2	B3GALT6	1	1	1167658	1168648	990	330	.	69	149.1277161	0.462690651	43.05337102	1	3.209371442	0.048104466
ENST00000400930.4	UBE2J2	1	7	1190582	1203372	828	276	2	63	110.2279649	0.571542803	20.23516145	1	2.199514862	0.415938847
ENST00000291386.3	SSU72	1	5	1477445	1509937	585	195	.	21	71.34572257	0.294341402	35.52689201	1	2.914877785	0.606848849
ENST00000378585.4	GABRD	1	9	1950862	1961721	1359	453	1	117	211.4501606	0.553321878	42.18882033	1	3.148481355	0.923498878
ENST00000605895.1	RER1	1	6	2327229	2334563	591	197	.	38	77.25988047	0.491846477	19.95004659	1	2.184683118	0.969239733
ENST00000378083.3	KCNAB2	1	15	6111596	6158634	1248	416	"1,9"	47	112.574985	0.4174995	38.19746154	1	3.017258016	0.839972632
ENST00000234875.4	RPL22	1	4	6246731	6259633	387	129	.	10	43.09921808	0.232022771	25.41944579	1	2.467158396	0.348492156
ENST00000343813.5	ICMT	1	5	6285139	6295971	855	285	1	29	73.37600667	0.395224561	26.83751893	1	2.532687639	0.959145428
ENST00000377898.3	HES3	1	3	6304425	6305567	561	187	.	36	68.58047281	0.524930764	15.47798032	1	1.923793207	0.268868568
ENST00000377855.2	ACOT7	1	9	6324656	6445726	1143	381	.	105	178.653921	0.587728494	30.36541289	1	2.692706876	0.381517902
ENST00000328089.6	SPSB1	1	2	9415950	9427634	822	274	.	60	130.4597931	0.459911813	38.05450187	1	3.017307176	0.709596082
ENST00000377346.4	PIK3CD	1	22	9770513	9787104	3135	1045	.	205	447.7792879	0.457814833	131.6313287	1	5.610522559	0.999984295
ENST00000376957.2	SRM	1	8	11114921	11120000	909	303	.	49	124.0261361	0.395078018	45.38495899	1	3.2955629	0.869848472
ENST00000235310.3	MAD2L2	1	8	11734831	11740658	636	212	.	53	96.11869791	0.55140156	19.3429806	1	2.150030559	0.202505866
