transcript	gene	chr	n_coding_exons	cds_start	cds_end	bp	amino_acids	low_depth_exons	obs_mis	exp_mis	obs_exp	overall_chisq	n_regions	mis_z	pLI
ENST00000335137.3	OR4F5	1	1	69090	70008	918	306	.	8	69.31116373	0.115421522	54.23453591	1	3.602088999	0.176329298
ENST00000342066.3	SAMD11	1	13	861321	879533	2046	682	.	364	242.694551	1.499827658	60.63181842	1	-3.786195942	1.35E-10
ENST00000379410.3	PLEKHN1	1	16	901911	909955	1836	612	.	335	231.3547468	1.447992767	46.4323238	1	-3.328941566	2.02E-08
ENST00000428771.2	HES4	1	3	934438	935353	744	248	.	72	110.4367224	0.651957052	13.37763015	1	1.800964465	0.000147943
ENST00000379389.4	ISG15	1	2	948953	949858	498	166	.	79	82.96247682	0.952237723	0.189256917	1	0.21278581	0.009847813
ENST00000379370.2	AGRN	1	36	955552	990361	6138	2046	1	829	838.6410981	0.988503905	0.110834983	2	0.140544378	0.17335234
ENST00000421241.2	C1orf159	1	8	1018272	1026923	597	199	"1,2,3"	57	50.93296071	1.119118135	0.722694405	1	-0.419915665	0.090877636
ENST00000379290.1	TTLL10	1	13	1114595	1133227	2022	674	"1,2,11,12,13"	173	135.7308528	1.27458125	10.23340905	1	-1.574109407	1.95E-05
ENST00000328596.6	TNFRSF18	1	4	1138970	1141951	768	256	.	107	82.11013847	1.30312775	7.544807725	1	-1.35382095	8.37E-07
ENST00000379236.3	TNFRSF4	1	7	1146934	1149507	834	278	.	100	98.08774234	1.019495378	0.037280187	1	-0.095087344	0.00720933
ENST00000360001.6	SDF4	1	6	1152891	1164173	1089	363	.	143	176.6413707	0.809549878	6.407003168	1	1.233240631	0.001309827
ENST00000379198.2	B3GALT6	1	1	1167658	1168648	990	330	.	69	149.1277161	0.462690651	43.05337102	1	3.209371442	0.048104466
ENST00000330388.2	FAM132A	1	8	1177927	1182070	909	303	1	109	95.81406248	1.137620065	1.814649579	1	-0.659885729	4.68E-05
ENST00000400930.4	UBE2J2	1	7	1190582	1203372	828	276	2	63	110.2279649	0.571542803	20.23516145	1	2.199514862	0.415938847
ENST00000354700.5	ACAP3	1	24	1228943	1243195	2505	835	"1,2,20"	224	285.154233	0.785539803	13.11514886	1	1.796594051	0.03943093
ENST00000379031.5	PUSL1	1	8	1244023	1246759	912	304	.	140	125.1244073	1.118886419	1.768505947	1	-0.635316998	6.59E-12
ENST00000540437.1	CPSF3L	1	17	1247238	1257333	1821	607	1	208	242.157682	0.858944462	4.818130204	2	1.070880616	5.79E-09
ENST00000343938.4	GLTPD1	1	2	1262290	1263143	645	215	.	114	109.17522	1.044192995	0.213221479	1	-0.224249761	0.00138279
ENST00000378891.5	DVL1	1	15	1271521	1284445	2013	671	.	361	324.7552682	1.111606294	4.045140178	1	-1.00885471	0.157164972
ENST00000309212.6	MXRA8	1	10	1288983	1293884	1329	443	.	132	192.3291281	0.686323498	18.92382985	3	2.108723264	0.004712972
ENST00000338370.3	AURKAIP1	1	3	1309180	1310136	600	200	.	90	103.7538952	0.867437313	1.823253307	1	0.657050504	0.002475388
ENST00000400809.3	CCNL2	1	11	1322610	1334686	1563	521	.	208	262.2865824	0.793025698	11.23592753	1	1.638103961	0.104548195
ENST00000344843.7	MRPL20	1	4	1337462	1342597	450	150	.	71	58.69273943	1.20968966	2.580705281	1	-0.78217617	0.000171803
ENST00000476993.1	VWA1	1	3	1371128	1375167	1338	446	1	148	175.6890736	0.842397293	4.363872945	2	1.009046182	0.03319976
ENST00000378785.2	ATAD3C	1	12	1386063	1403910	1236	412	.	185	178.0174608	1.0392239	0.273882421	3	-0.257046972	4.91E-05
ENST00000308647.7	ATAD3B	1	16	1407264	1431197	1947	649	.	246	281.4095489	0.874170763	4.45555653	4	1.002949843	1.92E-13
ENST00000378755.5	ATAD3A	1	16	1447648	1469452	1905	635	.	189	267.6473227	0.70615315	23.11026802	3	2.324489365	0.040130598
ENST00000291386.3	SSU72	1	5	1477445	1509937	585	195	.	21	71.34572257	0.294341402	35.52689201	1	2.914877785	0.606848849
ENST00000505820.2	MIB2	1	20	1550839	1565910	3213	1071	.	377	439.8966316	0.85701952	8.992990572	3	1.47086128	0.000158543
ENST00000407249.3	CDK11B	1	21	1571125	1588935	2358	786	"4,5,6,8,9,10,20,21"	64	190.2472694	0.336404303	83.77714481	4	4.461179497	0.72829444
ENST00000404249.3	CDK11A	1	19	1634345	1654257	2343	781	"5,6,7,8,18,19"	167	173.0571253	0.964999272	0.212003795	1	0.188614344	5.24E-05
ENST00000246421.4	SLC35E2	1	5	1663893	1670996	801	267	1	13	67.43042899	0.192791299	43.93671588	2	3.235955562	0.374305908
ENST00000344463.4	NADK	1	13	1684342	1696845	1776	592	.	165	231.0677513	0.714076279	18.89033729	1	2.121201833	0.00126769
ENST00000378609.4	GNB1	1	9	1718769	1756892	1023	341	.	29	147.6886024	0.196359093	95.38301606	2	4.775297754	0.995187833
ENST00000307786.3	CALML6	1	6	1846719	1848632	546	182	.	69	57.6688348	1.196486807	2.226424465	1	-0.728179047	0.000127437
ENST00000310991.3	TMEM52	1	5	1849320	1850704	630	210	.	66	64.26521065	1.026994222	0.046829289	2	-0.100098919	0.328693114
ENST00000378585.4	GABRD	1	9	1950862	1961721	1359	453	1	117	211.4501606	0.553321878	42.18882033	1	3.148481355	0.923498878
ENST00000378567.3	PRKCZ	1	18	1982069	2116448	1779	593	1	143	232.6220567	0.614731045	34.52859611	3	2.868338483	0.266923657
ENST00000378546.4	C1orf86	1	4	2121147	2126188	543	181	1	72	80.5771569	0.893553493	0.913008393	1	0.467362635	0.785170903
ENST00000378536.4	SKI	1	7	2160205	2238204	2187	729	7	183	285.4838986	0.641016887	36.78998897	3	2.96334091	0.9814021
ENST00000378531.3	MORN1	1	14	2252821	2322972	1494	498	.	230	177.2170647	1.297843412	15.72104956	1	-1.987642432	7.88E-07
ENST00000605895.1	RER1	1	6	2327229	2334563	591	197	.	38	77.25988047	0.491846477	19.95004659	1	2.184683118	0.969239733
ENST00000288774.3	PEX10	1	6	2337204	2343941	1041	347	.	153	140.0165418	1.092728031	1.203930508	1	-0.545955856	0.010463632
ENST00000449969.1	PLCH2	1	22	2399058	2435066	3390	1130	"1,21,22"	305	324.4962263	0.939918481	1.171362897	1	0.517784833	1.71E-08
ENST00000378466.3	PANK4	1	19	2440285	2458026	2322	774	.	223	352.9954334	0.631736218	47.87260996	1	3.379605355	0.945333402
ENST00000378453.3	HES5	1	3	2460907	2461603	501	167	3	27	25.72518068	1.04955531	0.063174067	1	-0.111122624	0.532717162
ENST00000355716.4	TNFRSF14	1	8	2488103	2494712	852	284	.	108	107.0802851	1.008589022	0.007899451	1	-0.046582086	0.819999054
ENST00000419916.2	FAM213B	1	7	2518234	2520866	687	229	.	58	78.44928635	0.739331136	5.330492243	1	1.127337924	0.0001667
ENST00000378412.3	MMEL1	1	23	2522428	2560923	2340	780	.	309	311.9561609	0.990523794	0.028013191	1	0.074023847	8.88E-13
ENST00000378404.2	ACTRT2	1	1	2938250	2939384	1134	378	.	169	160.6507632	1.051971348	0.433921094	1	-0.322195812	0.018722461
ENST00000270722.5	PRDM16	1	17	2985823	3350375	3831	1277	.	508	612.3322432	0.829614977	17.77665162	3	2.055611651	0.999843194
ENST00000378378.4	ARHGEF16	1	14	3379648	3397151	2130	710	"1,2,3,4"	183	198.0004372	0.924240384	1.136427368	1	0.519481682	9.37E-08
ENST00000356575.4	MEGF6	1	37	3407091	3527832	4626	1542	.	626	581.0850129	1.077295036	3.471705553	1	-0.920373078	4.42E-15
ENST00000378344.2	TPRG1L	1	5	3541636	3545167	819	273	1	74	83.25385361	0.888847744	1.028586702	1	0.495366745	0.002845285
ENST00000270708.7	WRAP73	1	12	3547538	3566563	1383	461	.	184	191.8407159	0.959129031	0.320457653	1	0.280416881	0.02692199
ENST00000378295.4	TP73	1	13	3598929	3649643	1911	637	.	218	282.4150628	0.771913502	14.69220611	3	1.871487785	0.975977778
ENST00000294600.2	CCDC27	1	12	3669045	3688087	1971	657	.	234	223.8255452	1.045457076	0.462500968	1	-0.333064868	1.61E-19
ENST00000378251.1	LRRC47	1	7	3697651	3713040	1752	584	.	152	217.5877509	0.698568735	19.77019869	2	2.178125815	0.603832188
ENST00000378230.3	CEP104	1	21	3731965	3768971	2778	926	.	322	324.3122895	0.992870176	0.016486216	1	0.058812727	2.63E-08
ENST00000378209.3	DFFB	1	7	3774167	3800305	1017	339	.	127	137.4255288	0.924136884	0.790913104	1	0.43273805	5.09E-05
ENST00000361605.3	C1orf174	1	4	3806523	3816750	732	244	.	96	93.56755601	1.025996661	0.063235421	1	-0.124684469	0.018742502
ENST00000378191.4	AJAP1	1	5	4715485	4834559	1236	412	.	154	196.8439034	0.782345795	9.325155756	1	1.499091429	0.977592767
ENST00000378156.4	NPHP4	1	29	5923324	6046349	4281	1427	.	632	549.4281873	1.150286816	12.40945479	1	-1.722439343	1.29E-17
ENST00000378083.3	KCNAB2	1	15	6111596	6158634	1248	416	"1,9"	47	112.574985	0.4174995	38.19746154	1	3.017258016	0.839972632
